TableName
CDBDataPlaneRequests
CDBPartitionKeyStatistics
CDBPartitionKeyRUConsumption
CDBQueryRuntimeStatistics
CDBMongoRequests
CDBCassandraRequests
CDBGremlinRequests†
CDBControlPlaneRequests
AppPlatformLogsforSpring
AACAudit
MCCEventLogs
AmlComputeInstanceEvent
AmlDataLabelEvent
AmlDataSetEvent
AmlDataStoreEvent
AmlDeploymentEvent
AmlInferencingEvent
AmlModelsEvent
AmlPipelineEvent
AmlRunEvent
AmlEnvironmentEvent
AADUserRiskEvents
AADRiskyUsers
SynapseGatewayApiRequests
SynapseSqlPoolExecRequests
SynapseBuiltinSqlPoolRequestsEnded
SynapseDXCommand
SynapseDXFailedIngestion
SynapseDXIngestionBatching
SynapseDXQuery
SynapseDXSucceededIngestion
SynapseDXTableDetails
SynapseDXTableUsageStatistics
ADXJournal
StorageBlobLogs
StorageFileLogs
StorageQueueLogs
StorageTableLogs
AppPlatformIngressLogs
WVDErrors
WVDManagement
AgriFoodApplicationAuditLogs
AgriFoodFarmManagementLogs
AgriFoodWeatherLogs
AgriFoodSatelliteLogs
AgriFoodFarmOperationLogs
AgriFoodProviderAuthLogs
AgriFoodModelInferenceLogs
AgriFoodInsightLogs
AgriFoodJobProcessedLogs
AADProvisioningLogs
AUIEventsAudit
AUIEventsOperational
ACRConnectedClientList
AppPlatformBuildLogs
WebPubSubConnectivity
WebPubSubMessaging
WebPubSubHttpRequest
DatabricksFeatureStore
DatabricksGenie
DatabricksGlobalInitScripts
DatabricksIAMRole
DatabricksMLflowAcledArtifact
DatabricksMLflowExperiment
DatabricksRemoteHistoryService
DatabricksSQL
Heartbeat
WVDAgentHealthStatus
Alert
AppServiceHTTPLogs
AGSGrafanaLoginEvents
AegDataPlaneRequests
AegDeliveryFailureLogs
AegPublishFailureLogs
AADServicePrincipalRiskEvents
ADPRequests
DatabricksDatabricksSQL
DatabricksDeltaPipelines
DatabricksModelRegistry
DatabricksRepos
DatabricksUnityCatalog
AEWComputePipelinesLogs
AppServicePlatformLogs
AppPlatformContainerEventLogs
Event
AZFWNetworkRule
AZFWApplicationRule
AZFWThreatIntel
AZFWNatRule
AZFWIdpsSignature
AZFWDnsQuery
AZFWInternalFqdnResolutionFailure
AZFWNetworkRuleAggregation
AZFWApplicationRuleAggregation
AZFWNatRuleAggregation
AADRiskyServicePrincipals
WVDConnectionNetworkData
OEPAirFlowTask
AzureActivityV2
AutoscaleEvaluationsLog
AutoscaleScaleActionsLog
WVDSessionHostManagement
OEPElasticOperator
OEPElasticsearch
AADB2CRequestLogs
NetworkAccessTraffic
ADXQuery
AADNonInteractiveUserSignInLogs
AADServicePrincipalSignInLogs
AADManagedIdentitySignInLogs
ADFSSignInLogs
AmlOnlineEndpointTrafficLog
ADTQueryOperation
ACSSMSIncomingOperations
ACSAuthIncomingOperations
ACSCallDiagnostics
ACSCallSummary
ACSNetworkTraversalIncomingOperations
ACSNetworkTraversalDiagnostics
ACSEmailSendMailOperational
ACSEmailStatusUpdateOperational
ACSEmailUserEngagementOperational
PowerBIDatasetsWorkspace
PowerBIReportUsageWorkspace
ADPAudit
ADPDiagnostics
InsightsMetrics
AmlOnlineEndpointEventLog
PurviewDataSensitivityLogs
PurviewSecurityLogs
ADFPipelineRun
ADFSandboxPipelineRun
ADFTriggerRun
DatabricksGitCredentials
DatabricksWebTerminal
SignalRServiceDiagnosticLogs
MicrosoftAzureBastionAuditLogs
AddonAzureBackupJobs
AddonAzureBackupPolicy
AddonAzureBackupProtectedInstance
AddonAzureBackupStorage
CoreAzureBackup
AddonAzureBackupAlerts
ANFFileAccess
LAQueryLogs
PFTitleAuditLogs
VIAudit
VIIndexing
WVDConnectionGraphicsDataPreview
AzureAttestationDiagnostics
ContainerAppConsoleLogs
ContainerAppSystemLogs
MCVPOperationLogs
MCVPAuditLogs
ACSCallRecordingSummary
ACSRoomsIncomingOperations
StorageAntimalwareScanResults
ContainerImageInventory
ContainerInventory
ContainerLog
ContainerNodeInventory
ContainerServiceLog
KubeEvents
KubeHealth
KubeMonAgentEvents
KubeNodeInventory
KubePodInventory
KubeServices
VMBoundPort
VMComputer
VMConnection
VMProcess
ConfigurationData
ConfigurationChange
KubePVInventory
ContainerLogV2
McasShadowItReporting
ThreatIntelligenceIndicator
Dynamics365Activity
SecurityIncident
OfficeActivity
NetworkSessions
SentinelHealth
Anomalies
HuntingBookmark
AWSCloudTrail
AWSVPCFlow
AWSGuardDuty
CloudAppEvents
SentinelAudit
WindowsEvent
DeviceTvmSecureConfigurationAssessment
DeviceTvmSoftwareInventory
DeviceTvmSoftwareVulnerabilities
DeviceImageLoadEvents
DeviceRegistryEvents
DeviceFileEvents
DeviceNetworkInfo
DeviceNetworkEvents
DeviceFileCertificateInfo
DeviceEvents
DeviceLogonEvents
Watchlist
ConfidentialWatchlist
IdentityLogonEvents
IdentityQueryEvents
IdentityDirectoryEvents
ASimDnsActivityLogs
EmailAttachmentInfo
EmailEvents
EmailPostDeliveryEvents
EmailUrlInfo
UrlClickEvents
DeviceProcessEvents
GCPAuditLogs
AlertEvidence
DeviceInfo
MicrosoftPurviewInformationProtection
SqlVulnerabilityAssessmentScanStatus
AzureDiagnostics
KubeEvents_CL
KubePodInventory_CL
ContainerNodeInventory_CL
ContainerProcess_CL
AzureNetworkAnalytics_CL
AzureNetworkAnalyticsIPDetails_CL
AzureTrafficAnalyticsInsights_CL
NTATopologyDetails_CL
audit_logs_CL
